#,Title,Difficulty,Type,Comments
187,Repeated DNA Sequences,M,Mapping,Store visited substrings with set to avoid duplicate.
188,"Best Time to Buy and Sell Stock IV",H,DP,Buy and sell stock to make maximum profit in k transactions. O(kn). DP storing max profit made in each transaction + previous profits.
189,Rotate Array,M,Array,"Reverse by part, then the whole array. Replace in-place. O(1) space."
190,Reverse Bits,E,Bits,"Int to bin str, reverse, str to int."
191,Number of 1 Bits,E,Bits,&(AND) with 1 to check the last bit is 1 or not. Then shift right with >>. (n & (n-1) == 0) when is a power of 2.
198,House Robber,M,DP,Max money may rob from house not adjacent. DP max between [i-2]+[i] and [i-1].
199,Binary Tree Right Side View,M,Graph,Right most nodes. Store every last node at the begining of every bfs loop.
200,"Number of Islands",M,DFS,"Count number of islanded 1's in a given grid map. Using dfs mark all found island, replace ""1"" with ""#"" marks ."
201,Bitwise AND of Numbers Range,M,Bits,"The operation keeps all 1s which in every number. Keeping the common bits of m and n from left to right until the first different bit, setting all rest as 0. Shift right until equal to find all common bits from left to right. "
202,Happy Number,E,Bits,Repeat the process until visited number. Set avoid visited int. 
203,"Remove Linked List Elements",E,LinkedList,Remove nodes with val from a linked list using dummy head. Skip found nodes until node.val != val then move on. 
204,Count Primes,M,Math,Find all primes under number n. Only need to test from 2 to sqrt(n)+1. Mark all multiples of found primes as non-prime.
205,Isomorphic Strings,E,Mapping,Find if the pattern of two strs are the same using two dicts or through find function for each index.
206,Reverse Linked List,E,LinkedList,Reverse linked list. 1). prev = None 2). t = cur.next 3). cur.next = prev 4). prev = cur 5). cur = t 6). return prev
207,Course Schedule,M,DFS,"Cycle detection using DFS. Mark unchecked as 0, checking as 1, completed as 2. Cycle if node with 1 is visited again."
208,Implement Trie (Prefix Tree),M,Structure,"Using linked list with each node as a dict. Insert: add each char as a child of previous char Search: follow the char path check whether the end is flaged as word CheckPrefix: similar as search, break when char can not follow the path "
209,Minimum Size Subarray Sum,M,Array,"Looking for min length subarray that sum up to target num. Sliding window to search in O(n). Add to total while right < length(nums), minus from total while total >= target."
210,Course Schedule II,M,Graph,Refer to #207. Append to result after a node is completed (no more unvisited children node).
211,Design Add and Search Words Data Structure,M,DFS,Refer to #208. Doing a DFS with index+1 when the word contains '.' .
212,Word Search II,H,DFS,Using DFS with backtracking to find all words in a grid. Words are stored in a Trie structure where each node in the trie represents a letter in a word and the '#' symbol indicates the end of a word. 
213,House Robber II,M,DP,"Refer to # 198. Since house is recursive, we can only take either the first house or the last house. Do two dp searches for these two situations and take maximum."
214,Shortest Palindrome,H,String,"Find the shortest palindrome by adding to the front of a string. Count from the back of origin string s, if s[:-i] == reversed_s[i:], add the reversed counted part in front of s."
215,Kth Largest Element in an Array,M,Heap,Heap as a tree structure returns smallest num everytime. Heappushpop len(n)-k times to get kth largest element. Or using quickselect sort recursively.
216,Combination Sum III,M,DFS,"Using DFS where start value add 1 everytime, current path add range(start, len) everytime."
217,Contains Duplicate,E,Array,Use set to remove duplicate then check len or use dict to check if appeared.
218,The Skyline Problem,H,Heap,Use a max heap with negative height to record tallest building. Remove a building if current x pos passed its end pos. Add a new building to heap if it appears for the first time. Update result if current heap[0] is different from the prev result.   
219,Contains Duplicate II,E,Array,Use dictory to store previous index.
220,Contains Duplicate III,H ,Array,Using bucket sort to store num with key = num / (valueDiff + 1). Maintaining number of buckets under indexDiff. Check if num appears in current or adjcent buckets. 
221,Maximal Square,M,DP,"Maximum size of a square depends on the minimum number of cell surrounding the current cell. If ""1"" found, do a min check among three cells then + 1 as current cell."
222,Count Complete Tree Nodes,M,Graph,"To count the number of node, compute the height of left nodes and right nodes. Number of node in each height = 2 ** height."
223,Rectangle Area,M,Math,"Compute the overlapping area using min(bx2, ax2) - max(ax1, bx1). Only when both x and y overlapped, two rectangle are overlapped."
224,Basic Calculator,H,Math,"Each + or - changes the sign and ')' updates the total number, '(' updates the stack. Num used to record long number, Stack used to record value in a parenthesis."
